listaingles,furigana;kanji
letraa vazio,n a r u t o
Tochigi prefecture (Kanto area),とちぎけん 栃木県
indicates possessive,の
zoo; zoological gardens,どうぶつえん 動物園
small; little; tiny,ちい 小さな
sand cat (Felis margarita); sand dune cat,すなねこ 砂猫
baby; infant,あか 赤ちゃん
indicates direct object of action,を
everyone; everybody; all,みんな 皆
two,に 二
to show; to display,み 見せる
topic marker particle,は
Africa,阿弗利加アフリカ 阿弗利加
desert,さばく 砂漠
indicates sentence subject (occasionally object),が
to be; to exist; to live,あ 有る
place; spot; scene; site,ところ 所
et cetera; etc.; and the like; and so forth,など 等
archer; shooter; bowman,いて 射手
the world; society; the universe,せかい 世界
coming out; going out; outflow; efflux; rising (of the Sun or the Moon),で 出
number one; first; first place,いちばん 一番
class,クラス
"cat (esp. the domestic cat, Felis catus)",ねこ 猫
be; is,です
Yumio Nasu,那須弓雄
animal,どうぶつ 動物
kingdom; monarchy,おうこく 王国
April,しがつ ４月
Japan,にほん 日本
for the first time,はじ 初めて
to be born,う 生まれる
and; and then; thus; and now; and finally,そ 然して
July,しちがつ ７月
ninth day of the month,ここのか 九日
newborn,う 生まれたて
"female (animal, plant)",めす 雌
one animal (small),いっぴき 一匹
body,からだ 体
weight,おも 重さ
approximately; about; around; or so,くらい
unacceptable; no good; complete failure; inadequate,な 成ってない
lively; full of spirit; energetic; vigorous; vital; spirited,げんき 元気
milk,ミルク
to drink; to gulp; to swallow; to take (medicine),の 飲む
this month,こんげつ 今月
thirteenth day of the month,じゅうさんにち 十三日
"from (e.g. time, place, numerical quantity); since",から
this,こ 此の
to show; to display,み 見せる
thing; matter,こと 事
"to resign; to retire; to quit; to leave (one's job, etc.)",や 辞める
good; advantage; benefit; welfare,ため 為
looking; viewing,み 見
to come (spatially or temporally); to approach; to arrive,く 来る
man; person,ひと 人
telephone call; phone call,でんわ 電話
to be astonished to hear; to be incredulous about; to express disbelief,き 聞いてあきれる
wanted; wished for; in need of; desired,ほ 欲しい
door (esp. Japanese-style),と 戸
to say; to utter; to declare,い 言う
